RedFighter,BlueFighter,RedDecimalOdds,BlueDecimalOdds,RedImpliedProb,BlueImpliedProb,Date,Location,Country,Winner,TitleBout,WeightClass,Gender,NumberOfRounds,BlueCurrentLoseStreak,BlueCurrentWinStreak,BlueDraws,BlueAvgSigStrLanded,BlueAvgSigStrPct,BlueAvgSubAtt,BlueAvgTDLanded,BlueAvgTDPct,BlueLongestWinStreak,BlueLosses,BlueTotalRoundsFought,BlueTotalTitleBouts,BlueWins,BlueStance,BlueHeightCms,BlueReachCms,BlueWeightLbs,RedCurrentLoseStreak,RedCurrentWinStreak,RedDraws,RedAvgSigStrLanded,RedAvgSigStrPct,RedAvgSubAtt,RedAvgTDLanded,RedAvgTDPct,RedLongestWinStreak,RedLosses,RedTotalRoundsFought,RedTotalTitleBouts,RedWins,RedStance,RedHeightCms,RedReachCms,RedWeightLbs,RedAge,BlueAge,EmptyArena
Alex Morono,Joaquin Buckley,2.45,1.5714285714285714,0.39076376554174075,0.6092362344582594,2023-10-07,"Las Vegas, Nevada, USA",USA,Blue,False,Welterweight,MALE,3,0,1,0,4.25,0.36,0.0,1.69,0.44,3,4,23,0,6,Southpaw,177.8,193.04,170,0,1,0,4.96,0.41,0.4,0.36,0.26,4,5,44,0,12,Orthodox,180.34,182.88,170,33,29,
Rafael Fiziev,Mateusz Gamrot,1.704225352112676,2.2,0.5634920634920635,0.43650793650793646,2023-09-23,"Las Vegas, Nevada, USA",USA,Blue,False,Lightweight,MALE,5,0,1,0,3.23,0.5,0.1,5.25,0.35,4,2,19,0,5,Southpaw,177.8,177.8,155,1,0,0,4.9,0.51,0.0,0.29,0.4,6,2,22,0,6,Switch,172.72,180.34,155,30,32,
Bryce Mitchell,Dan Ige,1.4444444444444444,2.85,0.6636481241914618,0.33635187580853815,2023-09-23,"Las Vegas, Nevada, USA",USA,Red,False,Featherweight,MALE,3,0,2,0,3.7,0.45,0.3,0.99,0.26,6,5,42,0,10,Orthodox,170.18,180.34,145,1,0,0,2.3,0.58,1.6,3.45,0.41,6,1,18,0,6,Southpaw,177.8,177.8,145,28,32,
Marina Rodriguez,Michelle Waterson-Gomez,1.2777777777777777,3.6,0.7380410022779044,0.2619589977220957,2023-09-23,"Las Vegas, Nevada, USA",USA,Red,False,Women's Strawweight,FEMALE,3,3,0,0,3.42,0.46,0.6,1.39,0.33,4,7,46,0,8,Orthodox,160.02,157.48,115,2,0,2,4.82,0.47,0.2,0.23,0.42,4,3,37,0,7,Orthodox,167.64,165.1,115,36,37,
Bryan Battle,AJ Fletcher,1.5208333333333335,2.6,0.6309403437815976,0.3690596562184025,2023-09-23,"Las Vegas, Nevada, USA",USA,Red,False,Welterweight,MALE,3,0,1,0,3.36,0.49,0.9,1.54,0.35,1,2,9,0,2,Switch,177.8,170.18,170,0,1,0,4.52,0.51,0.6,1.12,0.28,3,1,10,0,4,Orthodox,185.42,195.58,170,29,26,
Ricardo Ramos,Charles Jourdain,2.1399999999999997,1.7407407407407407,0.448558885283451,0.551441114716549,2023-09-23,"Las Vegas, Nevada, USA",USA,Blue,False,Featherweight,MALE,3,0,1,1,5.48,0.48,0.5,0.35,0.23,2,5,30,0,5,Switch,175.26,175.26,145,0,1,0,3.03,0.36,0.8,2.77,0.61,3,3,22,0,7,Orthodox,175.26,182.88,145,28,27,
Tim Means,Andre Fialho,2.3,1.6024096385542168,0.4106205619018215,0.5893794380981784,2023-09-23,"Las Vegas, Nevada, USA",USA,Red,False,Welterweight,MALE,3,3,0,0,3.3,0.41,0.0,0.25,1.0,2,4,12,0,2,Orthodox,182.88,187.96,170,3,0,0,5.08,0.49,0.2,1.16,0.4,4,12,61,0,14,Orthodox,187.96,190.5,170,39,29,
Jacob Malkoun,Cody Brundage,1.1612903225806452,5.0,0.8115183246073299,0.18848167539267016,2023-09-23,"Las Vegas, Nevada, USA",USA,Blue,False,Middleweight,MALE,3,3,0,0,1.62,0.54,0.9,2.31,0.5,2,5,12,0,2,Orthodox,182.88,182.88,185,0,1,0,3.86,0.56,0.4,6.62,0.42,2,2,13,0,3,Orthodox,175.26,185.42,185,28,29,
Mohammed Usman,Jake Collier,1.8333333333333335,2.0,0.5217391304347826,0.4782608695652174,2023-09-23,"Las Vegas, Nevada, USA",USA,Red,False,Heavyweight,MALE,3,3,0,0,5.8,0.44,0.6,0.71,0.33,1,8,30,0,5,Orthodox,190.5,198.12,230,0,2,0,3.41,0.36,0.0,0.69,0.17,2,0,5,0,2,Orthodox,187.96,200.66,239,34,34,
Mizuki,Hannah Goldy,1.289855072463768,3.5,0.7307110438729199,0.26928895612708015,2023-09-23,"Las Vegas, Nevada, USA",USA,Red,False,Women's Strawweight,FEMALE,3,1,0,0,5.19,0.47,0.2,0.66,0.12,1,3,11,0,2,Orthodox,162.56,154.94,115,1,0,0,4.56,0.5,0.0,0.33,0.14,1,1,6,0,1,Orthodox,160.02,165.1,115,29,31,
Tamires Vidal,Montserrat Rendon,1.4201680672268908,2.95,0.6750312469954812,0.3249687530045188,2023-09-23,"Las Vegas, Nevada, USA",USA,Blue,False,Women's Bantamweight,FEMALE,3,0,0,0,3.13,0.28,0.0,3.0,0.54,0,0,0,0,0,Orthodox,172.72,172.72,135,0,1,0,3.2,0.55,1.0,0.0,0.0,1,0,1,0,1,Orthodox,167.64,172.72,135,25,34,
Kevin Holland,Jack Della Maddalena,1.8695652173913042,1.9523809523809523,0.5108342361863488,0.4891657638136511,2023-09-16,"Las Vegas, Nevada, USA",USA,Blue,False,Welterweight,MALE,3,0,6,0,6.74,0.53,0.2,0.21,0.16,6,0,10,0,6,Switch,180.34,185.42,170,0,2,0,4.25,0.49,0.6,0.84,0.38,5,6,50,0,13,Orthodox,190.5,205.74,185,30,27,
Raul Rosas Jr.,Terrence Mitchell,1.1428571428571428,6.0,0.84,0.15999999999999998,2023-09-16,"Las Vegas, Nevada, USA",USA,Red,False,Bantamweight,MALE,3,1,0,0,2.21,0.34,0.0,3.69,0.5,0,1,1,0,0,Orthodox,177.8,187.96,135,1,0,0,1.12,0.43,1.8,4.39,0.38,2,1,7,0,2,Switch,175.26,170.18,135,18,33,
Daniel Zellhuber,Christos Giagos,1.3448275862068966,3.35,0.7135512302607419,0.28644876973925815,2023-09-16,"Las Vegas, Nevada, USA",USA,Red,False,Lightweight,MALE,3,0,1,0,3.03,0.41,0.4,2.84,0.36,2,6,24,0,6,Orthodox,177.8,180.34,155,0,1,0,5.86,0.41,0.2,0.22,0.33,1,1,9,0,2,Switch,185.42,195.58,155,24,33,
Fernando Padilla,Kyle Nelson,1.3875968992248062,3.1,0.690792883054068,0.30920711694593195,2023-09-16,"Las Vegas, Nevada, USA",USA,Blue,False,Featherweight,MALE,3,0,1,1,3.65,0.45,0.6,1.1,0.2,1,4,18,0,2,Switch,180.34,180.34,145,0,1,0,6.48,0.42,0.8,0.0,0.0,1,0,1,0,1,Orthodox,185.42,193.04,145,26,32,
Loopy Godinez,Elise Reed,1.2531645569620253,4.1,0.7659021045164341,0.23409789548356585,2023-09-16,"Las Vegas, Nevada, USA",USA,Red,False,Women's Strawweight,FEMALE,3,0,1,0,2.66,0.49,0.0,0.58,0.6,1,3,15,0,3,Orthodox,160.02,160.02,115,0,2,0,4.16,0.48,1.0,2.95,0.47,2,3,22,0,5,Orthodox,157.48,154.94,115,30,30,
Roman Kopylov,Josh Fremd,1.3076923076923077,3.6,0.7335423197492164,0.26645768025078376,2023-09-16,"Las Vegas, Nevada, USA",USA,Red,False,Middleweight,MALE,3,0,2,0,2.52,0.44,1.1,0.66,0.25,2,2,10,0,2,Orthodox,193.04,193.04,185,0,3,0,4.33,0.54,0.0,1.2,0.53,3,2,13,0,3,Southpaw,182.88,190.5,185,32,29,
Tracy Cortez,Jasmine Jasudavicius,1.8,2.05,0.5324675324675325,0.4675324675324675,2023-09-16,"Las Vegas, Nevada, USA",USA,Red,False,Women's Flyweight,FEMALE,3,0,2,0,3.79,0.45,0.5,2.39,0.41,2,1,15,0,4,Orthodox,170.18,172.72,125,0,5,0,3.72,0.47,0.3,2.09,0.45,5,0,15,0,5,Orthodox,165.1,165.1,125,29,34,
Israel Adesanya,Sean Strickland,1.1818181818181819,5.1,0.8118668596237336,0.18813314037626627,2023-09-09,"Sydney, New South Wales, Australia",Australia,Blue,True,Middleweight,MALE,5,0,2,0,6.01,0.42,0.2,0.78,0.64,6,5,56,1,14,Orthodox,185.42,193.04,185,0,1,0,4.0,0.48,0.1,0.05,0.12,9,2,55,11,13,Switch,193.04,203.2,185,34,32,
Tai Tuivasa,Alexander Volkov,2.95,1.4201680672268908,0.3249687530045188,0.6750312469954812,2023-09-09,"Sydney, New South Wales, Australia",Australia,Blue,False,Heavyweight,MALE,3,0,2,0,5.13,0.57,0.2,0.45,0.63,4,4,39,0,10,Orthodox,200.66,203.2,250,2,0,0,3.77,0.46,0.0,0.0,0.0,5,5,23,0,8,Southpaw,187.96,190.5,264,30,34,
Manel Kape,Felipe dos Santos,1.2272727272727273,4.4,0.7819063004846527,0.21809369951534735,2023-09-09,"Sydney, New South Wales, Australia",Australia,Red,False,Flyweight,MALE,3,0,0,0,4.53,0.34,0.5,0.0,0.0,0,0,0,0,0,Orthodox,170.18,177.8,125,0,3,0,4.44,0.53,0.4,0.54,0.33,3,2,11,0,3,Southpaw,165.1,172.72,125,29,22,
Justin Tafa,Austen Lane,1.5050505050505052,2.6399999999999997,0.6369041816941223,0.3630958183058778,2023-09-09,"Sydney, New South Wales, Australia",Australia,Red,False,Heavyweight,MALE,3,0,1,0,3.43,0.46,0.0,1.03,0.2,1,1,3,0,1,Orthodox,198.12,203.2,245,0,2,0,4.09,0.54,0.0,0.0,0.0,2,3,11,0,3,Southpaw,182.88,187.96,264,29,35,
Tyson Pedro,Anton Turkalj,2.02,1.819672131147541,0.4739134147382802,0.5260865852617197,2023-09-09,"Sydney, New South Wales, Australia",Australia,Red,False,Light Heavyweight,MALE,3,2,0,0,2.45,0.42,0.0,4.98,0.41,1,2,7,0,1,Orthodox,193.04,198.12,205,1,0,0,2.9,0.59,0.8,0.76,0.3,2,4,15,0,5,Orthodox,190.5,200.66,205,31,27,
Carlos Ulberg,Da Woon Jung,1.3174603174603174,3.3,0.7146785837057408,0.28532141629425917,2023-09-09,"Sydney, New South Wales, Australia",Australia,Red,False,Light Heavyweight,MALE,3,2,0,1,3.49,0.43,0.2,1.9,0.5,2,2,15,0,4,Orthodox,193.04,198.12,205,0,4,0,7.41,0.59,0.3,0.95,0.75,4,1,9,0,5,Orthodox,193.04,195.58,205,32,29,
Jack Jenkins,Chepe Mariscal,1.4587155963302751,2.88,0.6637909160111647,0.3362090839888353,2023-09-09,"Sydney, New South Wales, Australia",Australia,Blue,False,Featherweight,MALE,3,0,1,0,4.75,0.57,0.3,3.09,0.39,1,0,3,0,1,Orthodox,170.18,175.26,145,0,3,0,4.83,0.6,0.0,2.12,0.69,3,0,9,0,3,Switch,170.18,172.72,145,29,30,
Jamie Mullarkey,John Makdessi,1.3355704697986577,3.4,0.7179705215419501,0.2820294784580499,2023-09-09,"Sydney, New South Wales, Australia",Australia,Red,False,Lightweight,MALE,3,1,0,0,5.52,0.49,0.0,0.0,0.0,3,8,48,0,11,Orthodox,172.72,172.72,155,1,0,0,4.39,0.46,0.1,2.31,0.34,2,4,19,0,4,Orthodox,182.88,187.96,155,29,38,
Nasrat Haqparast,Landon Quinones,1.1923076923076923,4.5,0.7905405405405406,0.20945945945945946,2023-09-09,"Sydney, New South Wales, Australia",Australia,Red,False,Lightweight,MALE,3,0,0,0,6.77,0.4,0.0,0.5,0.33,0,0,0,0,0,Southpaw,175.26,177.8,155,0,1,0,6.15,0.44,0.0,0.28,0.2,3,4,27,0,6,Southpaw,177.8,182.88,155,28,27,
Ciryl Gane,Serghei Spivac,1.5208333333333335,2.6,0.6309403437815976,0.3690596562184025,2023-09-02,"Paris, Ile-de-France, France",France,Red,False,Heavyweight,MALE,5,0,3,0,3.51,0.49,0.7,4.63,0.65,3,3,19,0,7,Orthodox,190.5,198.12,260,1,0,0,5.49,0.6,0.5,0.58,0.21,7,2,31,3,8,Orthodox,193.04,205.74,245,33,28,
Manon Fiorot,Rose Namajunas,1.5050505050505052,2.6399999999999997,0.6369041816941223,0.3630958183058778,2023-09-02,"Paris, Ile-de-France, France",France,Red,False,Women's Flyweight,FEMALE,3,1,0,0,3.7,0.42,0.4,1.55,0.53,3,4,39,7,9,Orthodox,165.1,165.1,125,0,5,0,6.26,0.41,0.0,1.17,0.42,5,0,13,0,5,Orthodox,170.18,165.1,125,33,31,
Benoit Saint Denis,Thiago Moises,1.5050505050505052,2.6399999999999997,0.6369041816941223,0.3630958183058778,2023-09-02,"Paris, Ile-de-France, France",France,Red,False,Lightweight,MALE,3,0,2,0,2.39,0.4,1.3,1.47,0.35,3,4,26,0,7,Orthodox,175.26,177.8,155,0,3,0,5.7,0.54,1.5,4.76,0.37,3,1,8,0,3,Southpaw,180.34,185.42,155,27,28,
Volkan Oezdemir,Bogdan Guskov,1.5714285714285714,2.45,0.6092362344582594,0.39076376554174075,2023-09-02,"Paris, Ile-de-France, France",France,Red,False,Light Heavyweight,MALE,3,0,0,0,3.13,0.48,0.0,0.0,0.0,0,0,0,0,0,Orthodox,190.5,193.04,205,1,0,0,4.79,0.48,0.1,0.56,0.33,3,6,29,1,6,Orthodox,187.96,190.5,205,33,30,
William Gomis,Yanis Ghemmouri,1.5050505050505052,2.6399999999999997,0.6369041816941223,0.3630958183058778,2023-09-02,"Paris, Ile-de-France, France",France,Red,False,Featherweight,MALE,3,0,0,0,2.29,0.38,0.0,0.0,0.0,0,0,0,0,0,Orthodox,175.26,175.26,135,0,2,0,2.62,0.46,0.7,1.06,0.6,2,0,6,0,2,Southpaw,182.88,185.42,145,26,28,
Morgan Charriere,Manolo Zecchini,1.2666666666666666,3.95,0.7571884984025559,0.2428115015974441,2023-09-02,"Paris, Ile-de-France, France",France,Red,False,Featherweight,MALE,3,0,0,0,2.34,0.21,0.0,0.0,0.0,0,0,0,0,0,Orthodox,172.72,172.72,145,0,0,0,3.98,0.49,0.8,1.59,0.4,0,0,0,0,0,Orthodox,172.72,175.26,145,27,26,
Taylor Lapilus,Caolan Loughran,1.5,2.45,0.6202531645569621,0.37974683544303806,2023-09-02,"Paris, Ile-de-France, France",France,Red,False,Bantamweight,MALE,3,0,0,0,5.64,0.43,0.0,2.0,0.26,0,0,0,0,0,Orthodox,167.64,172.72,135,0,1,0,4.33,0.48,0.3,0.31,0.4,2,1,11,0,3,Southpaw,167.64,185.42,135,31,27,
Ange Loosa,Rhys McKee,1.6896551724137931,2.1399999999999997,0.558797046641455,0.4412029533585449,2023-09-02,"Paris, Ile-de-France, France",France,Red,False,Welterweight,MALE,3,2,0,0,4.8,0.45,0.0,0.0,0.0,0,2,4,0,0,Orthodox,187.96,198.12,170,0,1,0,5.6,0.44,0.2,2.41,0.38,1,2,9,0,1,Orthodox,177.8,187.96,170,30,27,
Nora Cornolle,Joselyne Edwards,2.1399999999999997,1.7407407407407407,0.448558885283451,0.551441114716549,2023-09-02,"Paris, Ile-de-France, France",France,Red,False,Women's Bantamweight,FEMALE,3,0,3,0,4.35,0.51,0.4,0.88,0.33,3,2,18,0,4,Orthodox,172.72,177.8,135,0,0,0,3.29,0.59,0.0,0.0,0.0,0,0,0,0,0,Orthodox,170.18,170.18,135,33,27,
Farid Basharat,Kleydson Rodrigues,1.263157894736842,4.0,0.7600000000000001,0.24000000000000005,2023-09-02,"Paris, Ile-de-France, France",France,Red,False,Bantamweight,MALE,3,0,1,0,4.58,0.57,0.6,0.6,0.22,1,1,7,0,2,Orthodox,165.1,170.18,135,0,2,0,4.47,0.58,0.6,3.96,0.41,2,0,6,0,2,Orthodox,172.72,180.34,135,26,27,
Zarah Fairn,Jacqueline Cavalcanti,4.0,1.263157894736842,0.24000000000000005,0.7600000000000001,2023-09-02,"Paris, Ile-de-France, France",France,Blue,False,Catch Weight,MALE,3,0,0,0,7.23,0.55,0.0,0.0,0.0,0,0,0,0,0,Orthodox,172.72,177.8,135,3,0,0,4.55,0.31,0.0,0.0,0.0,0,3,5,0,0,Orthodox,172.72,182.88,135,39,26,
Max Holloway,Chan Sung Jung,1.1428571428571428,6.0,0.84,0.15999999999999998,2023-08-26,"Kallang, Singapore",Singapore,Red,False,Featherweight,MALE,5,1,0,0,3.93,0.41,0.6,0.7,0.44,3,6,38,2,7,Orthodox,170.18,182.88,145,0,1,0,7.17,0.48,0.3,0.25,0.53,13,7,90,9,20,Orthodox,180.34,175.26,145,31,36,
Anthony Smith,Ryan Spann,2.1,1.7692307692307692,0.4572564612326044,0.5427435387673957,2023-08-26,"Kallang, Singapore",Singapore,Red,False,Light Heavyweight,MALE,3,1,0,0,3.25,0.4,1.5,1.34,0.35,5,4,17,0,8,Orthodox,195.58,200.66,205,2,0,0,3.24,0.49,0.6,0.46,0.26,3,10,53,1,13,Orthodox,193.04,193.04,205,35,32,
Giga Chikadze,Alex Caceres,1.3875968992248062,3.1,0.690792883054068,0.30920711694593195,2023-08-26,"Kallang, Singapore",Singapore,Red,False,Featherweight,MALE,3,0,2,0,4.21,0.49,0.7,0.54,0.68,5,11,71,0,16,Southpaw,177.8,185.42,145,1,0,0,3.92,0.42,0.2,0.21,0.33,7,2,25,0,7,Orthodox,182.88,187.96,145,35,35,
Rinya Nakamura,Fernie Garcia,1.1052631578947367,7.25,0.8677165354330709,0.13228346456692913,2023-08-26,"Kallang, Singapore",Singapore,Red,False,Bantamweight,MALE,3,2,0,0,2.04,0.34,0.6,0.28,0.5,1,2,7,0,1,Orthodox,170.18,170.18,135,0,3,0,3.53,0.54,1.6,3.72,0.9,3,0,3,1,3,Southpaw,170.18,172.72,135,28,31,
Erin Blanchfield,Taila Santos,1.6024096385542168,2.4,0.5996387718242023,0.4003612281757977,2023-08-26,"Kallang, Singapore",Singapore,Red,False,Women's Flyweight,FEMALE,3,1,0,0,3.39,0.48,1.1,2.0,0.76,4,2,21,1,5,Orthodox,167.64,172.72,125,0,5,0,5.47,0.45,1.0,2.05,0.33,5,0,11,0,5,Orthodox,162.56,167.64,125,24,30,
Junior Tafa,Parker Porter,1.617283950617284,2.3600000000000003,0.593369754159424,0.4066302458405761,2023-08-26,"Kallang, Singapore",Singapore,Red,False,Heavyweight,MALE,3,0,1,0,6.55,0.5,0.5,1.35,0.26,3,3,13,0,4,Orthodox,182.88,190.5,265,1,0,0,1.67,0.42,0.0,0.0,0.0,0,1,3,0,0,Orthodox,190.5,190.5,240,26,38,
Waldo Cortes-Acosta,Lukasz Brzeski,1.4878048780487805,2.7,0.644729178800233,0.35527082119976705,2023-08-26,"Kallang, Singapore",Singapore,Red,False,Heavyweight,MALE,3,2,0,0,4.9,0.5,0.5,0.46,0.5,1,2,9,0,1,Orthodox,193.04,198.12,236,1,0,0,5.64,0.48,0.2,0.55,0.6,3,1,10,0,3,Orthodox,193.04,198.12,260,31,31,
Toshiomi Kazama,Garrett Armfield,2.3600000000000003,1.617283950617284,0.4066302458405761,0.593369754159424,2023-08-26,"Kallang, Singapore",Singapore,Blue,False,Bantamweight,MALE,3,1,0,0,5.59,0.55,0.4,0.0,0.0,0,1,2,0,0,Orthodox,167.64,177.8,135,1,0,0,1.72,0.53,0.6,1.68,0.12,1,1,4,1,1,Orthodox,170.18,175.26,135,26,26,
Chidi Njokuani,Michal Oleksiejczuk,2.1,1.7692307692307692,0.4572564612326044,0.5427435387673957,2023-08-26,"Kallang, Singapore",Singapore,Blue,False,Middleweight,MALE,3,1,0,0,5.08,0.5,0.0,1.08,0.43,2,4,19,0,6,Southpaw,182.88,187.96,185,2,0,0,4.09,0.61,0.2,0.0,0.0,3,2,10,0,3,Orthodox,190.5,203.2,170,34,28,
Song Kenan,Rolando Bedoya,3.85,1.2777777777777777,0.2491874322860238,0.7508125677139762,2023-08-26,"Kallang, Singapore",Singapore,Red,False,Welterweight,MALE,3,1,0,0,7.29,0.49,0.0,0.0,0.0,0,1,3,0,0,Orthodox,180.34,187.96,155,2,0,0,4.57,0.47,0.0,0.43,0.33,2,3,14,0,4,Orthodox,182.88,180.34,170,33,26,
Billy Ray Goff,Yusaku Kinoshita,2.24,1.6756756756756757,0.42794036443953615,0.5720596355604638,2023-08-26,"Kallang, Singapore",Singapore,Red,False,Welterweight,MALE,3,1,0,0,4.65,0.5,0.0,0.0,0.0,1,1,4,0,1,Southpaw,182.88,180.34,170,0,1,0,8.56,0.46,0.0,2.01,0.17,1,0,1,0,1,Switch,177.8,182.88,170,25,23,
Liang Na,JJ Aldrich,5.0,1.1869158878504673,0.19184290030211482,0.8081570996978852,2023-08-26,"Kallang, Singapore",Singapore,Blue,False,Women's Flyweight,FEMALE,3,2,0,0,3.88,0.46,0.0,0.66,0.23,3,5,34,0,7,Southpaw,165.1,170.18,125,2,0,0,1.99,0.42,0.5,3.6,0.58,0,2,3,0,0,Orthodox,165.1,170.18,125,27,30,
SeungWoo Choi,Jarno Errens,1.6756756756756757,2.24,0.5720596355604638,0.42794036443953615,2023-08-26,"Kallang, Singapore",Singapore,Red,False,Featherweight,MALE,3,1,0,0,3.29,0.44,0.3,0.0,0.0,0,1,3,0,0,Orthodox,180.34,185.42,145,3,0,0,3.51,0.39,0.0,0.86,0.54,3,5,19,0,3,Orthodox,182.88,187.96,145,30,28,
Aljamain Sterling,Sean O'Malley,1.3875968992248062,3.1,0.690792883054068,0.30920711694593195,2023-08-19,"Boston, Massachusetts, USA",USA,Blue,True,Bantamweight,MALE,5,0,4,0,7.63,0.61,0.3,0.35,0.42,5,1,22,1,9,Switch,180.34,182.88,135,0,9,0,4.61,0.52,0.7,2.31,0.27,9,3,52,4,15,Orthodox,170.18,180.34,145,34,28,
Zhang Weili,Amanda Lemos,1.3225806451612903,3.5,0.725752508361204,0.27424749163879597,2023-08-19,"Boston, Massachusetts, USA",USA,Red,True,Women's Strawweight,FEMALE,5,0,2,0,3.16,0.54,0.8,0.9,0.63,5,2,17,0,7,Southpaw,162.56,165.1,115,0,2,0,5.66,0.53,0.5,2.51,0.46,5,2,23,6,7,Switch,162.56,160.02,115,34,36,
Neil Magny,Ian Machado Garry,4.8,1.2,0.19999999999999998,0.7999999999999999,2023-08-19,"Boston, Massachusetts, USA",USA,Blue,False,Welterweight,MALE,3,0,5,0,5.5,0.55,0.3,0.77,0.55,5,0,11,0,5,Orthodox,190.5,187.96,170,0,1,0,3.44,0.46,0.2,2.15,0.4,7,9,81,0,21,Orthodox,190.5,203.2,170,36,25,
Da'Mon Blackshear,Mario Bautista,2.7,1.4878048780487805,0.35527082119976705,0.644729178800233,2023-08-19,"Boston, Massachusetts, USA",USA,Blue,False,Bantamweight,MALE,3,0,4,0,5.69,0.48,1.0,2.25,0.44,4,2,14,0,6,Switch,175.26,175.26,135,0,2,1,4.28,0.47,0.8,2.33,0.37,2,1,9,0,2,Switch,177.8,182.88,135,29,30,
Marlon Vera,Pedro Munhoz,1.6024096385542168,2.4,0.5996387718242023,0.4003612281757977,2023-08-19,"Boston, Massachusetts, USA",USA,Red,False,Bantamweight,MALE,3,0,1,0,5.32,0.43,0.5,0.51,0.18,4,7,45,0,10,Orthodox,167.64,165.1,135,1,0,0,4.27,0.49,0.8,0.51,0.39,5,7,58,1,14,Switch,172.72,177.8,135,30,36,
Chris Weidman,Brad Tavares,2.7,1.4878048780487805,0.35527082119976705,0.644729178800233,2023-08-19,"Boston, Massachusetts, USA",USA,Blue,False,Middleweight,MALE,3,2,0,0,3.38,0.43,0.0,0.78,0.26,5,8,59,0,14,Orthodox,185.42,187.96,185,1,0,0,3.18,0.45,0.8,3.44,0.42,9,6,40,5,11,Orthodox,187.96,198.12,185,39,35,
Gregory Rodrigues,Denis Tiuliulin,1.2666666666666666,3.95,0.7571884984025559,0.2428115015974441,2023-08-19,"Boston, Massachusetts, USA",USA,Red,False,Middleweight,MALE,3,1,0,0,3.61,0.41,0.0,0.96,0.42,1,2,5,0,1,Orthodox,185.42,195.58,185,1,0,0,5.52,0.56,0.4,2.74,0.41,2,3,13,0,4,Orthodox,190.5,190.5,185,31,35,
Kurt Holobaugh,Austin Hubbard,2.42,1.5882352941176472,0.3962430290578221,0.6037569709421778,2023-08-19,"Boston, Massachusetts, USA",USA,Red,False,Lightweight,MALE,3,1,0,0,4.11,0.45,0.0,1.75,0.5,1,4,18,0,3,Orthodox,177.8,180.34,155,5,0,0,4.63,0.45,0.8,0.76,0.33,0,5,14,0,0,Orthodox,180.34,177.8,155,36,31,
Brad Katona,Cody Gibson,1.5208333333333335,2.6,0.6309403437815976,0.3690596562184025,2023-08-19,"Boston, Massachusetts, USA",USA,Red,False,Bantamweight,MALE,3,2,0,0,3.96,0.44,0.4,1.61,0.3,1,3,9,0,1,Orthodox,177.8,180.34,135,2,0,0,4.69,0.51,0.0,1.71,0.33,2,2,12,1,2,Orthodox,167.64,162.56,135,31,35,
Vicente Luque,Rafael Dos Anjos,2.1,1.7692307692307692,0.4572564612326044,0.5427435387673957,2023-08-12,"Las Vegas, Nevada, USA",USA,Red,False,Welterweight,MALE,5,0,1,0,3.48,0.47,0.6,1.95,0.35,5,12,103,4,21,Southpaw,172.72,177.8,170,2,0,0,5.07,0.52,0.6,1.0,0.53,6,5,40,0,14,Orthodox,180.34,190.5,170,31,38,
Cub Swanson,Hakeem Dawodu,3.45,1.3278688524590163,0.27792074112197634,0.7220792588780237,2023-08-12,"Las Vegas, Nevada, USA",USA,Red,False,Featherweight,MALE,3,1,0,0,5.45,0.5,0.0,0.0,0.0,5,3,25,0,6,Orthodox,172.72,185.42,145,1,0,0,4.67,0.5,0.4,1.04,0.5,6,12,76,0,18,Orthodox,172.72,177.8,145,39,32,
Khalil Rountree Jr.,Chris Daukaus,1.5882352941176472,2.42,0.6037569709421778,0.3962430290578221,2023-08-12,"Las Vegas, Nevada, USA",USA,Red,False,Light Heavyweight,MALE,3,3,0,0,6.05,0.5,0.0,0.0,0.0,4,3,9,0,4,Orthodox,190.5,193.04,205,0,3,0,3.84,0.39,0.1,0.0,0.0,3,5,25,1,7,Southpaw,185.42,193.04,205,33,33,
Polyana Viana,Iasmin Lucindo,2.6399999999999997,1.5050505050505052,0.3630958183058778,0.6369041816941223,2023-08-12,"Las Vegas, Nevada, USA",USA,Blue,False,Women's Strawweight,FEMALE,3,0,1,0,3.95,0.46,0.3,2.23,0.53,1,1,6,0,1,Orthodox,160.02,167.64,115,0,1,0,2.99,0.4,1.9,0.82,0.33,2,4,14,0,4,Orthodox,165.1,170.18,115,31,21,
AJ Dobson,Tafon Nchukwi,2.24,1.6756756756756757,0.42794036443953615,0.5720596355604638,2023-08-12,"Las Vegas, Nevada, USA",USA,Red,False,Middleweight,MALE,3,2,0,0,5.57,0.52,0.0,0.76,0.57,2,3,15,0,3,Orthodox,182.88,195.58,185,2,0,0,4.29,0.46,0.3,1.67,0.75,1,2,7,0,1,Orthodox,185.42,193.04,185,31,28,
Josh Fremd,Jamie Pickett,1.3076923076923077,3.6,0.7335423197492164,0.26645768025078376,2023-08-12,"Las Vegas, Nevada, USA",USA,Red,False,Middleweight,MALE,3,3,0,0,2.65,0.47,0.1,1.26,0.4,2,7,20,0,3,Orthodox,187.96,203.2,185,0,1,0,2.52,0.44,1.1,0.66,0.25,1,2,7,0,1,Orthodox,193.04,193.04,185,29,34,
JP Buys,Marcus McGhee,3.8,1.2816901408450705,0.2522172949002217,0.7477827050997783,2023-08-12,"Las Vegas, Nevada, USA",USA,Blue,False,Bantamweight,MALE,3,0,1,0,5.43,0.51,0.8,0.84,0.33,1,0,2,0,1,Orthodox,172.72,175.26,135,3,0,0,1.88,0.39,2.3,1.55,0.25,1,4,9,0,1,Orthodox,165.1,170.18,135,27,33,
